Chembl ID;Smiles;IC50;pIC50;MolWt;nHA;nHD;MolLogP;category
CHEMBL271932;COc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1;5.1;-0.7075701760979364;369.4460000000001;6;1;3.1678000000000015;active
CHEMBL339301;CS(=O)(=O)c1ccc(-c2[nH]ccc2-c2ccc(F)cc2)cc1;12670.0;-4.1027766148834415;315.369;2;1;3.891300000000002;intermediate
CHEMBL469;O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O;424.0;-2.6273658565927325;255.27299999999997;3;1;2.291;active
CHEMBL110331;Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1;416.87;-2.620000642300068;382.3670000000001;5;1;2.90892;active
CHEMBL110660;Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1;407.38;-2.6099997038422305;372.3280000000001;6;1;2.50192;active
CHEMBL320926;Cc1ncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)s1;430.0;-2.6334684555795866;388.3960000000001;6;1;2.97042;active
CHEMBL91832;CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1;5.0;-0.6989700043360189;344.40700000000004;3;0;3.7489000000000026;active
CHEMBL92443;C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C;2.2;-0.3424226808222063;324.44500000000005;2;0;4.596900000000003;potent
CHEMBL144920;CCCC#CCSc1ccccc1OC(C)=O;3000.0;-3.4771212547196626;248.34699999999998;3;0;3.507500000000002;intermediate
CHEMBL1288467;O=C(O)C1=Cc2cc(Cl)ccc2OC1C(F)(F)F;320.0;-2.505149978319906;278.613;2;1;3.1313000000000004;active
CHEMBL119852;CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccc(F)c2)cc1;65.0;-1.8129133566428555;350.802;4;0;3.7353000000000023;active
CHEMBL196041;NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CCF)cc1;8.0;-0.9030899869919435;346.3830000000001;4;1;3.168000000000002;active
CHEMBL2333746;COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)NC(C)(C)C)cc1;11120.0;-4.046104787246039;395.4990000000001;4;1;4.810700000000004;intermediate
CHEMBL29840;N#Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(Cl)cc2)c1Cl;10.0;-1.0;393.255;5;1;3.3651800000000014;active
CHEMBL257299;Cc1ccc(CNc2cc(Cl)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1;44.4;-1.6473829701146199;387.8920000000001;5;1;4.121020000000002;active
CHEMBL119170;CC(C)(C)c1cc(C(=O)NC2CC2)cc2c1OCC2(C)C;550.0;-2.7403626894942437;287.403;2;1;3.5463000000000022;active
CHEMBL16171;COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12;46000.0;-4.662757831681574;284.267;5;2;2.8798000000000004;intermediate
CHEMBL272239;CCS(=O)(=O)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1;90.7;-1.9576072870600951;431.53900000000016;7;1;2.9528000000000016;active
