 ,Area,Mean,Min,Max,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
66,314.144,250.986,0,255,161.440,12.547,55.431,25.281,35.955,0.151,2.153,0.464,0.617
67,29.247,252.860,0,255,25.382,205.618,55.431,6.180,7.303,0.570,1.486,0.673,0.832
68,106.994,254.499,0,255,49.413,143.071,56.180,18.727,7.865,0.551,2.653,0.377,0.915
69,2.174,255.000,255,255,6.000,122.846,57.303,2.060,1.873,0.759,1.672,0.598,0.810
70,4.910,255.000,255,255,8.512,174.906,57.491,2.247,2.809,0.851,1.386,0.722,0.915
71,188.388,255.000,255,255,112.393,58.240,57.678,24.719,18.165,0.187,2.278,0.439,0.651
72,12.379,255.000,255,255,14.221,229.026,58.052,3.371,5.056,0.769,1.661,0.602,0.913
73,25.425,250.779,0,255,20.066,218.914,58.801,5.431,5.805,0.793,1.118,0.894,0.928
74,4.068,255.000,255,255,8.338,59.925,59.925,2.809,2.247,0.735,1.404,0.712,0.829
75,30.755,255.000,255,255,38.442,39.139,61.236,4.869,10.861,0.262,2.218,0.451,0.747
76,2.490,255.000,255,255,8.932,35.393,61.423,2.247,2.622,0.392,1.153,0.867,0.631
77,34.928,255.000,255,255,33.327,170.225,61.423,8.989,7.303,0.395,1.483,0.674,0.774
78,0.982,255.000,255,255,3.726,118.352,61.610,0.749,1.498,0.889,1.930,0.518,0.949
79,20.655,253.268,0,255,36.879,164.607,62.172,6.180,11.236,0.191,4.363,0.229,0.585
80,0.666,255.000,255,255,2.758,69.288,63.109,0.936,0.936,1.000,1.161,0.861,0.884
81,0.772,255.000,255,255,3.242,163.483,63.296,0.936,1.124,0.922,1.237,0.809,0.898
82,39.943,254.552,0,255,49.758,11.423,63.483,10.861,8.801,0.203,1.405,0.712,0.576
83,337.254,254.841,0,255,136.432,194.944,64.232,32.772,25.655,0.228,2.096,0.477,0.724
84,217.600,253.356,0,255,80.546,94.757,64.981,24.719,17.790,0.421,1.887,0.530,0.817
85,9.854,255.000,255,255,17.490,160.112,65.730,3.745,5.993,0.405,2.963,0.337,0.688
86,1.087,255.000,255,255,3.662,223.221,66.105,1.124,1.311,1.000,1.210,0.827,0.899
87,0.947,255.000,255,255,3.462,147.191,66.292,0.936,1.124,0.993,1.288,0.777,0.947
